date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:09	283/283	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Feb%202022%2011:56:13%20GMT	http://html.iwthemes.com/robots.txt		(from )
13:56:09	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index.html	(from )
13:56:10	35020/35020	---MCZ	200	added ('OK')	text/css	etag:W/%2288cc-54ea1514089cf%22	http://html.iwthemes.com/jekas/run/css/style.css	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/css/style.css	(from http://html.iwthemes.com/jekas/run/)
13:56:10	5923/5923	---MCZ	200	added ('OK')	text/css	etag:W/%221723-54ea151458b0b%22	http://html.iwthemes.com/jekas/run/css/theme-responsive.css	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/css/theme-responsive.css	(from http://html.iwthemes.com/jekas/run/)
13:56:10	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%221536-54ea156e74ce1%22	http://html.iwthemes.com/jekas/run/img/icons/favicon.ico	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/img/icons/favicon.ico	(from http://html.iwthemes.com/jekas/run/)
13:56:11	2191/2191	---M--	200	added ('OK')	image/png	etag:%2288f-54ea156e76c21%22	http://html.iwthemes.com/jekas/run/img/icons/apple-touch-icon.png	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/img/icons/apple-touch-icon.png	(from http://html.iwthemes.com/jekas/run/)
13:56:11	2493/2493	---M--	200	added ('OK')	image/png	etag:%229bd-54ea156df4e06%22	http://html.iwthemes.com/jekas/run/img/icons/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/img/icons/apple-touch-icon-72x72.png	(from http://html.iwthemes.com/jekas/run/)
13:56:12	3296/3296	---M--	200	added ('OK')	image/png	etag:%22ce0-54ea156df4e06%22	http://html.iwthemes.com/jekas/run/img/icons/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/img/icons/apple-touch-icon-114x114.png	(from http://html.iwthemes.com/jekas/run/)
13:56:12	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/index.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index-2.html	(from http://html.iwthemes.com/jekas/run/)
13:56:12	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/?theme=red	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index0e99.html	(from http://html.iwthemes.com/jekas/run/)
13:56:13	1868/1868	---M--	200	added ('OK')	image/png	etag:%2274c-54ea1515f9ad6%22	http://html.iwthemes.com/jekas/run/img/logo.png	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/img/logo.png	(from http://html.iwthemes.com/jekas/run/)
13:56:13	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/?theme=blue	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/indexca00.html	(from http://html.iwthemes.com/jekas/run/)
13:56:13	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/?theme=yellow	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index2746.html	(from http://html.iwthemes.com/jekas/run/)
13:56:14	60993/60993	---MCZ	200	added ('OK')	text/html	etag:W/%22ee41-54ea14d3c1c1d%22	http://html.iwthemes.com/jekas/run/index-corporate.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index-corporate.html	(from http://html.iwthemes.com/jekas/run/)
13:56:14	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/?theme=green	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/indexaf91.html	(from http://html.iwthemes.com/jekas/run/)
13:56:15	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/?theme=purple	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index938c.html	(from http://html.iwthemes.com/jekas/run/)
13:56:15	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/?theme=orange	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/indexceb0.html	(from http://html.iwthemes.com/jekas/run/)
13:56:15	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/?theme=pink	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/indexa820.html	(from http://html.iwthemes.com/jekas/run/)
13:56:15	67838/67838	---MCZ	200	added ('OK')	text/html	etag:W/%22108fe-54ea14d34e864%22	http://html.iwthemes.com/jekas/run/index-business.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index-business.html	(from http://html.iwthemes.com/jekas/run/)
13:56:16	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/?theme=suelte	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/indexe82e.html	(from http://html.iwthemes.com/jekas/run/)
13:56:16	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/?theme=cocoa	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index6788.html	(from http://html.iwthemes.com/jekas/run/)
13:56:16	48617/48617	---MCZ	200	added ('OK')	text/html	etag:W/%22bde9-54ea14d51d688%22	http://html.iwthemes.com/jekas/run/index-portfolio.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index-portfolio.html	(from http://html.iwthemes.com/jekas/run/)
13:56:16	49261/49261	---MCZ	200	added ('OK')	text/html	etag:W/%22c06d-54ea14d5aa080%22	http://html.iwthemes.com/jekas/run/?theme=grey	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index0a59.html	(from http://html.iwthemes.com/jekas/run/)
13:56:17	81213/81213	---MCZ	200	added ('OK')	text/html	etag:W/%2213d3d-54ea14d5f72db%22	http://html.iwthemes.com/jekas/run/index-one-page.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index-one-page.html	(from http://html.iwthemes.com/jekas/run/)
13:56:17	40352/40352	---MCZ	200	added ('OK')	text/html	etag:W/%229da0-54ea14d48ce11%22	http://html.iwthemes.com/jekas/run/index-landing.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/index-landing.html	(from http://html.iwthemes.com/jekas/run/)
13:56:18	33075/33075	---MCZ	200	added ('OK')	text/html	etag:W/%228133-54ea14d68d912%22	http://html.iwthemes.com/jekas/run/page-about-01.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-about-01.html	(from http://html.iwthemes.com/jekas/run/)
13:56:18	37025/37025	---MCZ	200	added ('OK')	text/html	etag:W/%2290a1-54ea14d6bb76f%22	http://html.iwthemes.com/jekas/run/page-about-02.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-about-02.html	(from http://html.iwthemes.com/jekas/run/)
13:56:18	34011/34011	---MCZ	200	added ('OK')	text/html	etag:W/%2284db-54ea14d730a68%22	http://html.iwthemes.com/jekas/run/page-about-me.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-about-me.html	(from http://html.iwthemes.com/jekas/run/)
13:56:19	40771/40771	---MCZ	200	added ('OK')	text/html	etag:W/%229f43-54ea14d755c26%22	http://html.iwthemes.com/jekas/run/page-about-team.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-about-team.html	(from http://html.iwthemes.com/jekas/run/)
13:56:19	37319/37319	---MCZ	200	added ('OK')	text/html	etag:W/%2291c7-54ea14dada230%22	http://html.iwthemes.com/jekas/run/page-services-01.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-services-01.html	(from http://html.iwthemes.com/jekas/run/)
13:56:19	34734/34734	---MCZ	200	added ('OK')	text/html	etag:W/%2287ae-54ea14db3fb2a%22	http://html.iwthemes.com/jekas/run/page-services-02.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-services-02.html	(from http://html.iwthemes.com/jekas/run/)
13:56:20	40146/40146	---MCZ	200	added ('OK')	text/html	etag:W/%229cd2-54ea14db6aaa8%22	http://html.iwthemes.com/jekas/run/page-services-03.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-services-03.html	(from http://html.iwthemes.com/jekas/run/)
13:56:20	54333/54333	---MCZ	200	added ('OK')	text/html	etag:W/%22d43d-54ea14dbe2c80%22	http://html.iwthemes.com/jekas/run/page-services-options.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-services-options.html	(from http://html.iwthemes.com/jekas/run/)
13:56:21	34452/34452	---MCZ	200	added ('OK')	text/html	etag:W/%228694-54ea14dc8bb96%22	http://html.iwthemes.com/jekas/run/work-2-columns.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/work-2-columns.html	(from http://html.iwthemes.com/jekas/run/)
13:56:21	34451/34451	---MCZ	200	added ('OK')	text/html	etag:W/%228693-54ea14dcf2430%22	http://html.iwthemes.com/jekas/run/work-3-columns.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/work-3-columns.html	(from http://html.iwthemes.com/jekas/run/)
13:56:21	34509/34509	---MCZ	200	added ('OK')	text/html	etag:W/%2286cd-54ea14dd2410d%22	http://html.iwthemes.com/jekas/run/work-4-columns.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/work-4-columns.html	(from http://html.iwthemes.com/jekas/run/)
13:56:22	31225/31225	---MCZ	200	added ('OK')	text/html	etag:W/%2279f9-54ea14dc64a99%22	http://html.iwthemes.com/jekas/run/single-work.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/single-work.html	(from http://html.iwthemes.com/jekas/run/)
13:56:22	35273/35273	---MCZ	200	added ('OK')	text/html	etag:W/%2289c9-54ea14daa46d3%22	http://html.iwthemes.com/jekas/run/page-sections-content.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-sections-content.html	(from http://html.iwthemes.com/jekas/run/)
13:56:22	25608/25608	---MCZ	200	added ('OK')	text/html	etag:W/%226408-54ea14d9c0e41%22	http://html.iwthemes.com/jekas/run/page-full-width.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-full-width.html	(from http://html.iwthemes.com/jekas/run/)
13:56:23	26219/26219	---MCZ	200	added ('OK')	text/html	etag:W/%22666b-54ea14da2673b%22	http://html.iwthemes.com/jekas/run/page-left-sidebar.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-left-sidebar.html	(from http://html.iwthemes.com/jekas/run/)
13:56:23	26223/26223	---MCZ	200	added ('OK')	text/html	etag:W/%22666f-54ea14da535f8%22	http://html.iwthemes.com/jekas/run/page-right-sidebar.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-right-sidebar.html	(from http://html.iwthemes.com/jekas/run/)
13:56:24	21815/21815	---MCZ	200	added ('OK')	text/html	etag:W/%225537-54ea14d61c499%22	http://html.iwthemes.com/jekas/run/page-404.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-404.html	(from http://html.iwthemes.com/jekas/run/)
13:56:24	25509/25509	---MCZ	200	added ('OK')	text/html	etag:W/%2263a5-54ea14d9a7802%22	http://html.iwthemes.com/jekas/run/page-faq.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/page-faq.html	(from http://html.iwthemes.com/jekas/run/)
13:56:25	32651/32651	---MCZ	200	added ('OK')	text/html	etag:W/%227f8b-54ea14d279a31%22	http://html.iwthemes.com/jekas/run/feature-table-pricing.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/feature-table-pricing.html	(from http://html.iwthemes.com/jekas/run/)
13:56:25	23690/23690	---MCZ	200	added ('OK')	text/html	etag:W/%225c8a-54ea14d1dd63b%22	http://html.iwthemes.com/jekas/run/feature-grid.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/feature-grid.html	(from http://html.iwthemes.com/jekas/run/)
13:56:25	40612/40612	---MCZ	200	added ('OK')	text/html	etag:W/%229ea4-54ea14d30c1e8%22	http://html.iwthemes.com/jekas/run/feature-typograpy.html	C:/My%20Web%20Sites/smartcompany/html.iwthemes.com/jekas/run/feature-typograpy.html	(from http://html.iwthemes.com/jekas/run/)
